1.62243,-15.51242,-0.11115,16.86347,-3.55037,2000,0.21564,51.35588,-74.79739,4.41501,-20.16615,1.0
-33.80391,-15.4417,0.78171,28.11765,6.41342,1000,18.70829,12.72187,-78.84386,6.4202,-20.07421,0.0
-10.49048,-15.48716,0.19168,16.87734,11.41567,1000,-8.57972,6.02294,-78.18658,10.44804,-20.13331,0.0
-18.3993,-15.47262,0.39385,0.3231,-1.22566,1000,8.8181,-8.26627,-78.24734,8.27237,-20.11441,0.0
-38.06452,-15.37007,0.74519,3.12356,0.15829,1000,-2.90392,-11.76543,-79.92011,7.23429,-19.98109,0.0
2.13528,-15.47278,-0.21677,11.62632,-1.78539,2000,5.60305,-23.30847,-75.35696,8.98161,-20.11462,1.0
-12.06341,-15.39016,0.01734,1.92766,-2.52138,1000,-14.80564,21.27088,-78.26144,8.06903,-20.00721,0.0
-1.00275,-15.4569,-0.15962,3.50596,2.0426,1000,1.78448,-16.20681,-76.73808,7.7002,-20.09396,0.0
-12.88126,-15.44137,0.15842,7.79609,0.34916,1000,-1.90421,18.03565,-77.61847,5.77048,-20.07378,0.0
0.14535,-15.4331,-0.24804,12.47875,-4.24306,2000,-4.48597,-27.31991,-73.56616,5.75394,-20.06303,1.0
-30.04746,-15.39323,0.55944,12.98793,0.85595,1000,-18.04556,-49.37976,-76.68708,9.78892,-20.0112,0.0
-7.22974,-15.4124,-0.07578,23.1572,3.48151,1000,20.41084,-34.96813,-78.15053,5.96563,-20.03612,0.0
-13.24424,-15.42325,0.12791,1.06133,7.99599,1000,-9.99321,15.00159,-76.78472,8.25805,-20.05022,0.0
-20.22147,-15.45928,0.41766,-0.87459,2.50626,2000,-0.42993,7.6792,-78.68564,6.09991,-20.09707,0.0
-25.82206,-15.44226,0.5455,23.01882,-1.05012,1000,-0.45998,11.9864,-77.40256,7.58527,-20.07494,0.0
-13.56923,-15.457,0.21453,11.7349,0.28664,1000,6.77848,-4.28455,-75.25672,7.73162,-20.09411,0.0
-29.55587,-15.40648,0.57502,1.96071,0.64663,1000,4.49943,-17.21618,-78.39261,8.19677,-20.02842,0.0
-2.5563,-15.42265,-0.19148,2.38901,4.37652,1000,7.64164,12.42309,-77.51528,7.59626,-20.04944,0.0
3.42031,-15.56648,-0.04139,-0.43013,5.03973,1000,-6.02647,-0.62832,-72.20879,4.1285,-20.23643,1.0
0.48789,-15.52408,-0.0508,16.89069,6.25603,2000,-6.66204,6.74536,-78.26731,7.84088,-20.18131,1.0
-17.82742,-15.3705,0.14402,4.76996,7.20216,1000,-8.70116,7.07911,-79.31932,8.13201,-19.98165,0.0
-9.01088,-15.49463,0.16468,5.29697,-7.02556,1000,0.17336,8.51706,-78.94528,7.22244,-20.14302,0.0
8.02569,-15.59959,-0.10294,-0.12419,-10.77895,1000,0.3524,-13.36785,-73.79352,5.94932,-20.27947,1.0
-6.23107,-15.37007,-0.20199,14.1456,8.2439,1000,6.12046,-15.74669,-76.57548,8.83387,-19.98109,0.0
7.66331,-15.48372,-0.35633,14.24966,-1.50232,2000,0.61909,-1.88073,-77.14143,6.86571,-20.12883,1.0
2.06526,-15.59968,0.07462,9.3742,-7.65411,2000,-3.4645,-19.12423,-73.96099,7.21852,-20.27959,1.0
21.14017,-15.4956,-0.73024,6.0718,-7.57873,2000,7.55799,-25.84994,-79.44756,9.31113,-20.14428,1.0
4.79816,-15.43786,-0.37563,12.23259,10.68247,2000,-8.30674,11.66182,-76.027,8.90771,-20.06921,1.0
-15.93236,-15.36891,0.08402,-4.95284,-3.22862,2000,-5.00904,25.5088,-72.41075,10.58792,-19.97959,0.0
5.75535,-15.38859,-0.51642,13.1163,-4.43994,2000,-1.18701,6.81616,-79.01338,9.11172,-20.00517,1.0
